modified_id,class_cde,crs_cde,crs_title,parent_crs_cde,parent_crs_dept,crs_status,M,T,W,R,F,begin_time,end_time
10073,6,EDUC 516L 01,"Elem & Mid Schl-Lit,Soc Stud, Sci",EDUC 516L 01,EDUC,C,,T,,,,16:00:00,18:50:00
10073,6,EDUC 517 01,Elem & Mid School Math,EDUC 517 01,EDUC,C,M,,W,,,14:30:00,15:50:00
10073,6,EDUC 524X 01,Seminar on Advanced Themes,EDUC 524X 01,EDUC,C,,,,R,,11:00:00,13:00:00
10073,6,EDUC 506 01,Subsequent Teaching Endorsement,EDUC 506 01,EDUC,C,,,W,,,16:00:00,18:50:00
10073,6,EDUC 548 01,ADV. SEM.: ESL/Bilingual Education,EDUC 548 01,EDUC,C,M,,,,,16:00:00,18:50:00
11211,EN,MLS 517 01,The First Amendment,MLS 517 01,MLS,C,,T,,,,18:00:00,20:50:00
11386,12,HIST 200 01,"Empire, Slavery, Freedom: Early US",HIST 200 01,HIST,C,M,,W,,,13:00:00,14:20:00
10214,12,HIST 200 01,"Empire, Slavery, Freedom: Early US",HIST 200 01,HIST,C,M,,W,,,13:00:00,14:20:00
10518,7,MLS 517 01,The First Amendment,MLS 517 01,MLS,C,,T,,,,18:00:00,20:50:00
10759,2,MUSC 150 01,Fundamentals of Music,MUSC 150 01,MUSC,C,M,T,W,R,F,11:00:00,11:50:00
10759,2,ENGL 210 01,"Gods, Monsters, & Questing Humanity",ENGL 210 01,ENGL,C,M,,W,,F,13:00:00,13:50:00
10759,2,PSYC 222L 01,Research Methods & Statistics II,PSYC 222L 01,PSYC,C,,T,,R,,09:30:00,10:50:00
10759,2,PSYC 222L 01,Research Methods & Statistics II,PSYC 222L 01,PSYC,C,,,W,,,14:00:00,15:50:00
10759,2,SOAN 110 02,Intro to Sociology and Anthropology,SOAN 110 02,SOAN,C,,T,,R,,13:00:00,14:20:00
10810,4,BUSN 225 03,Principles of Marketing,BUSN 225 03,BUSN,C,,T,,R,,13:00:00,14:20:00
10810,4,BUSN 345 01,Organizational Behavior,BUSN 345 01,BUSN,C,,T,,R,,09:30:00,10:50:00
10810,4,MATH 350 01,Mathematical Probability,MATH 350 01,MATH,C,M,,W,,F,13:00:00,14:20:00
11532,4,ES 215 01,Environmental Psychology,PSYC 215 01,PSYC,C,,T,,,,12:00:00,15:50:00
11532,4,PSYC 445 01,"Psych of Sound, Speech, and Music",PSYC 445 01,PSYC,C,,T,,R,,08:00:00,09:20:00
11532,4,PSYC 330 01,Motivation & Emotion,PSYC 330 01,PSYC,W,M,,W,,F,09:00:00,09:50:00
